
#################################################################
#@  
#@  
#@  
####################################   2025-11-30[Nov-Sun]15-52PM 



opencloud-1  | 2025-11-30T19:44:07Z INF   ID:       ND6H75U5OYQJDLDSA23KLWMTPLD37W7MTYXDAMRH53DPSKPK5L22XP37 line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:21 service=nats
opencloud-1  | 2025-11-30T19:44:07Z DBG Created system account: "$SYS" line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:45 service=nats
opencloud-1  | 2025-11-30T19:44:07Z INF Starting JetStream line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:21 service=nats
opencloud-1  | 2025-11-30T19:44:07Z DBG JetStream creating dynamic configuration - 11.47 GB memory, 24.32 GB disk line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:45 service=nats
opencloud-1  | 2025-11-30T19:44:07Z INF     _ ___ _____ ___ _____ ___ ___   _   __  __ line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:21 service=nats
opencloud-1  | 2025-11-30T19:44:07Z INF  _ | | __|_   _/ __|_   _| _ \ __| /_\ |  \/  | line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:21 service=nats
opencloud-1  | 2025-11-30T19:44:07Z INF | || | _|  | | \__ \ | | |   / _| / _ \| |\/| | line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:21 service=nats
opencloud-1  | 2025-11-30T19:44:07Z INF  \__/|___| |_| |___/ |_| |_|_\___/_/ \_\_|  |_| line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:21 service=nats
opencloud-1  | 2025-11-30T19:44:07Z INF line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:21 service=nats
opencloud-1  | 2025-11-30T19:44:07Z INF          https://docs.nats.io/jetstream line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:21 service=nats
opencloud-1  | 2025-11-30T19:44:07Z INF line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:21 service=nats
opencloud-1  | 2025-11-30T19:44:07Z INF ---------------- JETSTREAM ---------------- line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:21 service=nats
opencloud-1  | 2025-11-30T19:44:07Z INF   Strict:          true line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:21 service=nats
opencloud-1  | 2025-11-30T19:44:07Z INF   Max Memory:      11.47 GB line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:21 service=nats
opencloud-1  | 2025-11-30T19:44:07Z INF   Max Storage:     24.32 GB line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:21 service=nats
opencloud-1  | 2025-11-30T19:44:07Z INF   Store Directory: "/var/lib/opencloud/nats/jetstream" line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:21 service=nats
